root	status	url
SWIFT_A2L412_AZG	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_AZG/
SWIFT_A2L412_AZG_RS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_AZG_RS/
SWIFT_A2L412_AZG_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_AZG_SF/
SWIFT_A2L412_RS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_RS/
SWIFT_A2L412_RS_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_RS_SF/
SWIFT_A2L412_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L412_SF/
SWIFT_A2L414	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414/
SWIFT_A2L414_A2L310	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L310/
SWIFT_A2L414_A2L310_2	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L310_2/
SWIFT_A2L414_A2L310_2_A2L412_2	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L310_2_A2L412_2/
SWIFT_A2L414_A2L310_2_A2L412_3	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L310_2_A2L412_3/
SWIFT_A2L414_A2L310_2_AOL	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L310_2_AOL/
SWIFT_A2L414_A2L310_2_AZG	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L310_2_AZG/
SWIFT_A2L414_A2L310_2_RS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L310_2_RS/
SWIFT_A2L414_A2L310_2_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L310_2_SF/
SWIFT_A2L414_A2L310_A2L412	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L310_A2L412/
SWIFT_A2L414_A2L412	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L412/
SWIFT_A2L414_A2L412_2	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L412_2/
SWIFT_A2L414_A2L412_2_A2L412_3	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L412_2_A2L412_3/
SWIFT_A2L414_A2L412_2_AOL	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L412_2_AOL/
SWIFT_A2L414_A2L412_2_AZG	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L412_2_AZG/
